X,Y,OBJECTID,advisorySpeed,animals,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashDistance,crashFinancialYear,crashLocation1,crashLocation2,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,easting,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersectionMidblock,junctionType,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,northing,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,outdatedLocationDescription,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadCurvature,roadLane,roadMarkings,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1756615,5912807,102222,30,0,518701,0,0,0,1,0,Null,0,2002,SH 20,HILLSBOROUGH ROAD,Non-Injury Crash,Yes,2002,0,North,0,1756615,0,0,Flat,0,0,0,Intersection,Crossroads,0,Bright sun,572100,0,0,0,5912807,6,0,0,0,Outdated location,0,0,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Traffic Signals,0,0,0,0,1,0,Urban,0,0,0,Fine,Null
1752616,5918798,102223,0,0,515002,0,0,0,2,0,West,50,2006,KANUKA ST,RIRO ST,Minor Crash,No,2005,0,East,0,1752616,0,0,Flat,0,0,0,Midblock,Nil (Default),0,Bright sun,397100,1,0,0,5918798,2,0,0,0,Current location,0,0,0,0,0,Auckland Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,50,0,Off,0,0,0,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1405735,4917306,102224,0,0,603000,0,0,0,2,0,Null,0,2001,STUART ST,QUEENS DRIVE,Non-Injury Crash,No,2001,0,South,0,1405735,0,0,Hill Road,0,0,0,Intersection,Crossroads,0,Overcast,2900100,0,0,0,4917306,2,0,0,0,Current location,0,0,0,0,0,Otago Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,71,Dunedin City,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1571835,5183345,102225,0,0,592701,1,0,0,2,0,South,140,2014,HILLS ROAD,ACHESON AVENUE,Fatal Crash,No,2013,0,South,0,1571835,1,0,Flat,0,0,0,Midblock,Nil (Default),0,Overcast,2594000,0,0,0,5183345,2,0,0,0,Current location,0,0,0,0,0,Canterbury Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,0,0,0,60,Christchurch City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1350706,4878200,102226,35,0,606700,0,0,0,1,0,North,180,2008,SH 1S,BIRSS ROAD,Non-Injury Crash,Yes,2008,0,North,1,1350706,0,0,Hill Road,0,0,0,Midblock,Nil (Default),0,Dark,2982101,0,0,0,4878200,2,0,0,0,Current location,0,0,0,0,0,Otago Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,None,0,0,0,72,Clutha District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1819573,5529231,102227,0,0,562710,0,0,0,2,0,Null,0,2017,HIGHBURY AVENUE,BRENTWOOD AVENUE,Non-Injury Crash,No,2016,0,South,0,1819573,0,0,Flat,0,0,0,Intersection,T Junction,0,Overcast,1819600,0,0,0,5529231,2,0,0,0,Current location,0,0,0,0,0,Manawatu-Wanganui Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,Null,1,0,0,40,Palmerston North City,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1838968,5857023,102228,75,0,534200,0,0,0,1,0,North,1330,2018,SH 2,RAHU ROAD,Non-Injury Crash,Yes,2018,0,West,1,1838968,0,1,Flat,0,0,0,Midblock,Nil (Default),0,Overcast,1075400,0,0,0,5857023,2,0,0,0,Current location,0,0,0,0,0,Waikato Region,Nil,Curved,2-way,0,Sealed,0,0,0,0,100,0,Null,0,0,0,12,Hauraki District,Unknown,0,1,0,0,0,0,Open,0,0,0,Heavy rain,Null
1622962.17,5430571,102229,0,0,582700,1,0,0,1,0,North,45,2019,ST VINCENT STREET,ST LAWRENCE STREET,Non-Injury Crash,No,2019,0,North,0,1622962,0,0,Flat,0,0,0,Midblock,Driveway,0,Dark,2331500,0,0,0,5430571,2,0,0,0,Current location,0,0,0,0,0,Nelson Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,52,Nelson City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1404207,4917507,102230,0,0,604020,0,0,0,0,0,West,90,2017,KAIKORAI VALLEY ROAD,HERMOND ST,Serious Crash,No,2017,0,East,0,1404207,0,0,Flat,0,0,0,Midblock,Driveway,0,Bright sun,2908700,0,0,1,4917507,2,0,0,0,Current location,0,0,0,0,0,Otago Region,Nil,Straight,2-way,0,Sealed,0,0,1,0,50,0,Null,0,0,0,71,Dunedin City,Nil,0,0,0,0,1,0,Urban,0,0,0,Fine,Null
1242394,4850268,102231,0,0,610800,0,0,0,2,0,Null,0,2005,SH 6,GALA ST,Non-Injury Crash,Yes,2004,0,East,0,1242394,0,0,Flat,0,0,0,Intersection,Crossroads,0,Dark,3116000,0,0,0,4850268,6,0,0,0,Current location,0,0,0,0,0,Southland Region,Nil,Straight,2-way,0,Sealed,0,0,0,0,50,0,On,0,0,0,75,Invercargill City,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
